Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,1,1102,0,1,2,0,1,1,2,0,94,3,2,0,4,0,5993,19479,8,1,11,3,1,80,0,8,0,1,6,4,0,5,1
49,1,279,1,8,1,0,1,2,3,1,61,2,2,1,2,1,5130,24907,1,0,23,4,4,80,1,10,3,3,10,7,1,7,0
37,1,1373,1,2,2,4,1,4,4,1,92,2,1,2,3,0,2090,2396,6,1,15,3,2,80,0,7,3,3,0,0,0,0,1
33,1,1392,1,3,4,0,1,5,4,0,56,3,1,1,3,1,2909,23159,1,1,11,3,3,80,0,8,3,3,8,7,3,0,0
27,1,591,1,2,1,1,1,7,1,1,40,3,1,2,2,1,3468,16632,9,0,12,3,4,80,1,6,3,3,2,2,2,2,0
32,1,1005,1,2,2,0,1,8,4,1,79,3,1,2,4,0,3068,11864,0,0,13,3,3,80,0,8,2,2,7,7,3,6,0
59,1,1324,1,3,3,1,1,10,3,0,81,4,1,2,1,1,2670,9964,4,1,20,4,1,80,3,12,3,2,1,0,0,0,0
30,1,1358,1,24,1,0,1,11,4,1,67,3,1,2,3,2,2693,13335,1,0,22,4,2,80,1,1,2,3,1,0,0,0,0
38,1,216,1,23,3,0,1,12,4,1,44,2,3,3,3,0,9526,8787,0,0,21,4,2,80,0,10,2,3,9,7,1,8,0
36,1,1299,1,27,3,1,1,13,3,1,94,3,2,7,3,1,5237,16577,6,0,13,3,2,80,2,17,3,2,7,7,7,7,0
35,1,809,1,16,3,1,1,14,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,80,1,6,5,3,5,4,0,3,0
29,1,153,1,15,2,0,1,15,4,0,49,2,2,2,3,0,4193,12682,0,1,12,3,4,80,0,10,3,3,9,5,0,8,0
31,1,670,1,26,1,0,1,16,1,1,31,3,1,1,3,2,2911,15170,1,0,17,3,4,80,1,5,1,2,5,2,4,3,0
34,1,1346,1,19,2,1,1,18,2,1,93,3,1,2,4,2,2661,8758,0,0,11,3,3,80,1,3,2,3,2,2,1,2,0
28,1,103,1,24,3,0,1,19,3,1,50,2,1,2,3,0,2028,12947,5,1,14,3,2,80,0,6,4,3,4,2,0,3,1
29,1,1389,1,21,4,0,1,20,2,0,51,4,3,3,1,2,9980,10195,1,0,11,3,3,80,1,10,1,3,10,9,8,8,0
32,1,334,1,5,2,0,1,21,1,1,80,4,1,1,2,2,3298,15053,0,1,12,3,4,80,2,7,5,2,6,2,0,5,0
22,0,1123,1,16,2,1,1,22,4,1,96,4,1,2,4,2,2935,7324,1,1,13,3,2,80,2,1,2,2,1,0,0,0,0
53,1,1219,0,2,4,0,1,23,1,0,78,2,4,4,4,1,15427,22021,2,0,16,3,3,80,0,31,3,3,25,8,3,7,0
38,1,371,1,2,3,0,1,24,4,1,45,3,1,1,4,0,3944,4306,5,1,11,3,3,80,0,6,3,3,3,2,1,2,0
24,0,673,1,11,2,4,1,26,1,0,96,4,2,3,3,2,4011,8232,0,0,18,3,4,80,1,5,5,2,4,2,1,3,0
36,1,1218,0,9,4,0,1,27,3,1,82,2,1,5,1,0,3407,6986,7,0,23,4,2,80,0,10,4,3,5,3,0,3,1
34,1,419,1,7,4,0,1,28,1,0,53,3,3,6,2,0,11994,21293,0,0,11,3,3,80,0,13,4,3,12,6,2,11,0
21,1,391,1,15,2,0,1,30,3,1,96,3,1,1,4,0,1232,19281,1,0,14,3,4,80,0,0,6,3,0,0,0,0,0
34,1,699,1,6,1,1,1,31,2,1,83,3,1,1,1,0,2960,17102,2,0,11,3,3,80,0,8,2,3,4,2,1,3,1
53,1,1282,1,5,3,4,1,32,3,0,58,3,5,4,3,2,19094,10735,4,0,11,3,4,80,1,26,3,2,14,13,4,8,0
32,1,1125,1,16,1,0,1,33,2,0,72,1,1,1,1,0,3919,4681,1,1,22,4,2,80,0,10,5,3,10,2,6,7,1
42,1,691,0,8,4,2,1,35,3,1,48,3,2,0,2,1,6825,21173,0,0,11,3,4,80,1,10,2,3,9,7,4,2,0
44,1,477,1,7,4,1,1,36,1,0,42,2,3,7,4,1,10248,2094,3,0,14,3,4,80,1,24,4,3,22,6,5,17,0
